city_codes,beds,baths,size,price
207,3,2.1,1996,1999999
301,4,2.1,2109,1898000
346,4,4.1,3181,1899900
207,4,3,2089,1650000
207,4,4,2100,1550000
274,5,5,4614,1698000
305,4,3,1718,1599000
221,4,4.1,3495,1739000
207,4,2,2562,1995000
301,4,4.1,3583,1888000
207,3,2,1467,1495000
301,4,3.1,2788,1890000
207,4,3,2580,1695000
289,3,3,2852,1695000
126,4,4,3038,1995000
16,2,2,2595,1980000
16,4,2,2029,1898000
301,3,2,1922,1550000
269,5,2.1,3146,1849000
404,7,3,2101,1599900
346,3,2,2077,1699000
346,3,3,2500,1699000
63,3,2,1857,1900000
207,4,2.1,1953,1795000
207,3,2,2029,1595000
52,4,3,2300,1599000
290,6,5,4605,1600000
207,3,3.1,2367,1649000
389,3,2,1250,1550000
374,3,2.1,2641,1549000
344,6,7,5265,1980000
328,4,2,2334,1799000
292,5,4,3363,1649995
204,3,4,2196,1599000
305,2,1,878,1550000
102,6,6.1,4990,1999000
207,2,2,2024,1499000
207,3,2,1723,1600000
389,1,1,848,1645000
207,3,2,2013,1752000
389,3,2,1600,1625000
207,3,3,2318,1570000
35,3,2,1530,1795000
274,3,2,2358,1599000
35,3,2.1,1360,1599000
142,3,2,1894,1499000
207,3,3.1,1816,1995000
395,5,4,4201,1550000
52,4,3.1,3692,1550000
207,2,2,2184,1600000
3,4,3,3697,1975000
207,4,3,2536,1998000
207,3,2,1897,1795000
94,3,2,1918,1799000
35,3,2,1984,1799000
207,3,3,2816,1585000
81,5,4.1,4502,1598800
305,4,2,1792,1749000
207,4,3,1759,1545000
16,5,4.1,3787,1888888
292,5,5,4721,1850000
207,5,5,3342,1775000
94,3,3,1835,1549000
207,5,4,2300,1999000
207,3,2,1661,1895000
355,4,3,2171,1887000
346,4,5,2700,1865000
114,5,5,7800,1895000
207,2,2,1352,1649000
346,4,3.1,3279,1795000
94,3,4,2722,1995000
207,3,2,1416,1698000
207,3,3,2675,1990000
207,4,5,2871,1698000
386,3,3,3097,1799000
347,4,2,2642,1795000
94,4,4,3035,1999999
207,3,2,1621,1599000
315,5,5,4503,1500000
102,6,4,4368,1798000
360,4,3.1,3048,1649000
397,5,5,4403,1800000
301,4,3,1929,1525000
263,3,2,2097,1700000
207,3,2,2350,1950000
54,5,3.1,3291,1579000
389,3,2,2055,1975000
207,3,2.1,1850,1625000
10,5,6,4359,1899000
315,7,6.1,4824,1498000
207,4,4,3096,1825000
289,4,2.3,2309,1549000
207,3,2,1690,1725000
207,5,5,3527,1999000
386,5,5,4000,1895000
207,4,3,3098,1799000
207,3,3,2030,1575000
207,3,2,1787,1550000
269,4,3,2906,1719000
54,5,6,4994,1999900
399,4,2,1944,1679000
389,4,2,1356,1995000
207,5,3,2450,1825000
126,3,3.1,2690,1897000
165,3,4,2616,1645000
114,5,5,4246,1950000
274,4,2,2535,1958000
207,4,5,3837,1799000
328,4,3,2678,1788000
274,4,2.1,2294,1499000
328,3,2,2097,1798000
16,3,2,1680,1880000
369,4,4.1,3824,1998000
52,4,3.1,2366,1599000
305,5,3,2357,1950000
207,4,3,2436,1695000
346,5,6,4000,1849000
16,2,1,1152,1530000
102,6,5,4241,1530000
112,3,2.1,2156,1897280
193,2,1,720,219900
193,4,2,1178,249000
193,4,2,1312,210000
193,3,2,1157,255000
193,4,2,1312,210000
193,4,2,1248,225000
199,1,2,1036,239000
267,3,1.1,1044,229000
267,4,1,1156,239900
193,4,2,1384,250000
193,3,2,1320,224900
277,3,2,1512,229900
193,3,2,1134,242900
193,4,2,1204,199000
193,3,1,938,229999
193,3,2,1134,230000
193,3,1,1526,235000
267,3,2,1140,230000
193,3,2,1107,210000
267,1,1,556,250000
193,3,1,1030,225000
267,3,2,1590,219900
193,4,2,1512,249900
193,4,2,1170,215000
267,3,1,983,245000
267,3,1,1083,249900
188,4,2,1384,240000
193,3,2,1568,230000
193,3,1,943,204900
199,2,1,680,199990
193,3,1,1087,239000
193,4,2,1204,255000
245,1,1,700,213000
193,3,2,1208,245000
193,3,2,1208,245000
267,3,1,1053,215000
193,3,1,1184,244900
277,3,1,1000,226000
193,3,2,1320,239990
193,4,2,1300,244990
193,2,1,1443,239900
193,3,2,1262,225000
193,3,1.1,988,223800
193,4,2,1164,218000
267,3,1,1064,245000
267,3,2,1134,240000
193,3,1,1010,229900
193,3,2,1296,239900
193,4,2,1112,234990
193,4,2,1484,249900
193,3,1,1122,250000
188,3,2,1134,250000
193,2,1,720,229900
199,2,1,825,219900
193,3,1,936,229900
267,3,2,1227,229900
193,2,1,720,210000
267,3,2,1456,199999
103,1,1,571,228000
193,2,1,825,215000
193,4,2,1400,249900
193,4,2,1617,253900
193,3,2,1296,234999
193,3,2,1068,244900
193,3,1,936,218000
193,3,1.1,1269,217000
193,3,2,1414,234900
188,3,2,1025,229900
193,3,1,1036,225000
267,2,1,804,200560
193,3,1.1,1036,221000
267,3,1,988,239900
193,3,2,1179,229999
193,3,1,1089,209900
188,3,2,1118,234900
199,2,1,720,209990
193,2,1,954,225000
199,2,1,720,209990
193,3,2,1334,220000
193,3,1,1225,249999
267,3,2,1322,247000
267,3,2,1402,224900
193,3,1,1025,217000
188,3,2,1346,234900
193,4,36,1229,240000
193,3,2,1120,239000
267,4,2,1248,244900
365,3,2,1512,224950
193,3,1,1010,214900
193,3,2,1064,249000
187,3,1,1008,235500
187,3,1,1066,249500
267,3,2,1176,214000
193,2,1,720,219900
267,3,2,1108,230000
193,3,2,1296,245000
193,4,3,2722,199900
193,3,2,1488,243000
193,2,2,798,229900
267,3,2,1346,255000
193,2,2,1102,230000
193,4,1.1,1259,238900
333,2,1,756,199500
187,3,2,1560,250000
188,3,1,1000,215000
200,2,1,2250,199990
193,4,2,1517,247000
193,4,2,1248,230000
193,3,2,1304,249900
188,3,4,1346,250000
188,3,2,1762,235000
267,2,2,937,254900
193,3,1,1212,250000
193,1,1,416,195000
193,3,2,1269,210000
267,3,2,1134,231550
193,3,2.1,1567,235000
267,3,2,1400,242500
1,3,2,1440,249000
193,3,2,2022,249000
267,3,1,1285,259900
277,3,2,1473,278500
267,3,1,1062,255900
193,4,2,1178,249000
193,3,2,1157,255000
193,3,3,1458,280000
267,3,2,1232,299990
267,3,2,1502,289000
267,4,2,1399,290000
193,3,3,1637,279900
267,4,2,1488,299000
267,3,2,1115,259999
193,4,2,1384,250000
193,2,2,1408,289500
193,3,2,1066,289990
193,4,1,1418,259990
193,3,2,1492,269900
193,3,2,1536,272500
193,3,1,1088,294900
193,4,2,1813,299900
267,3,2,1112,289990
193,3,2,1379,270000
193,3,2,1625,275000
207,1,1,568,299000
267,3,2,1000,258900
193,4,2,1274,298900
193,4,2,1204,270000
193,4,3,1905,299900
267,4,13,1836,299000
193,3,2,1240,290000
267,1,1,556,250000
193,3,2,1310,259000
187,2,2,1034,289900
193,3,2,1023,289000
306,2,2,855,299000
267,3,2,1528,284900
193,4,2,1512,249900
199,3,2,1302,279990
267,3,2,1290,299000
333,2,2,988,289000
193,4,2,1389,280000
267,3,1,983,245000
193,4,2,1498,289990
267,3,1,1083,249900
193,3,2,1224,259800
193,3,2,1335,299000
193,3,2,1458,279000
193,4,2,1204,255000
193,3,2,1208,245000
193,3,2,1208,245000
193,3,2,1260,267900
267,4,2,1355,299999
193,3,2,1240,290000
245,2,1,800,265000
193,3,1,1193,273900
267,3,2,1274,270000
193,3,2,1568,264900
172,2,2,928,305000
184,2,1,1000,259900
193,3,2,1616,289000
207,2,1,6750,291131
267,4,2,1327,295000
267,3,1,1064,245000
187,3,2,1560,305000
267,3,4,1299,287000
193,3,2,1230,270000
193,3,3,1672,294900
193,4,2,1484,249900
193,4,3,2133,299900
193,3,2,1502,299000
193,4,3,1841,285000
267,3,2,1290,295000
193,3,1,1122,250000
188,3,2,1134,250000
193,3,2,1045,294900
267,3,3,1417,285000
272,1,1,791,274000
267,3,2,1410,290000
267,4,2,1873,285000
184,2,2,1504,289000
193,3,3,1980,290000
239,2,1.1,864,260000
267,4,2,1422,285900
193,3,2,1365,257500
267,2,2,1103,273000
