,Unnamed: 0,city_codes,beds,baths,size,price
625,625,207,4,3.0,2436,1695000
626,626,346,5,6.0,4000,1849000
627,627,16,2,1.0,1152,1530000
628,628,102,6,5.0,4241,1530000
629,629,112,3,2.1,2156,1897280
630,630,193,2,1.0,720,219900
631,631,193,4,2.0,1178,249000
632,632,193,4,2.0,1312,210000
633,633,193,3,2.0,1157,255000
634,634,193,4,2.0,1312,210000
635,635,193,4,2.0,1248,225000
636,636,199,1,2.0,1036,239000
637,637,267,3,1.1,1044,229000
638,638,267,4,1.0,1156,239900
639,639,193,4,2.0,1384,250000
640,640,193,3,2.0,1320,224900
641,641,277,3,2.0,1512,229900
642,642,193,3,2.0,1134,242900
643,643,193,4,2.0,1204,199000
644,644,193,3,1.0,938,229999
645,645,193,3,2.0,1134,230000
646,646,193,3,1.0,1526,235000
647,647,267,3,2.0,1140,230000
648,648,193,3,2.0,1107,210000
649,649,267,1,1.0,556,250000
650,650,193,3,1.0,1030,225000
651,651,267,3,2.0,1590,219900
652,652,193,4,2.0,1512,249900
653,653,193,4,2.0,1170,215000
654,654,267,3,1.0,983,245000
655,655,267,3,1.0,1083,249900
656,656,188,4,2.0,1384,240000
657,657,193,3,2.0,1568,230000
658,658,193,3,1.0,943,204900
659,659,199,2,1.0,680,199990
660,660,193,3,1.0,1087,239000
661,661,193,4,2.0,1204,255000
662,662,245,1,1.0,700,213000
663,663,193,3,2.0,1208,245000
664,664,193,3,2.0,1208,245000
665,665,267,3,1.0,1053,215000
666,666,193,3,1.0,1184,244900
667,667,277,3,1.0,1000,226000
668,668,193,3,2.0,1320,239990
669,669,193,4,2.0,1300,244990
670,670,193,2,1.0,1443,239900
671,671,193,3,2.0,1262,225000
672,672,193,3,1.1,988,223800
673,673,193,4,2.0,1164,218000
674,674,267,3,1.0,1064,245000
675,675,267,3,2.0,1134,240000
676,676,193,3,1.0,1010,229900
677,677,193,3,2.0,1296,239900
678,678,193,4,2.0,1112,234990
679,679,193,4,2.0,1484,249900
680,680,193,3,1.0,1122,250000
681,681,188,3,2.0,1134,250000
682,682,193,2,1.0,720,229900
683,683,199,2,1.0,825,219900
684,684,193,3,1.0,936,229900
685,685,267,3,2.0,1227,229900
686,686,193,2,1.0,720,210000
687,687,267,3,2.0,1456,199999
688,688,103,1,1.0,571,228000
689,689,193,2,1.0,825,215000
690,690,193,4,2.0,1400,249900
691,691,193,4,2.0,1617,253900
692,692,193,3,2.0,1296,234999
693,693,193,3,2.0,1068,244900
694,694,193,3,1.0,936,218000
695,695,193,3,1.1,1269,217000
696,696,193,3,2.0,1414,234900
697,697,188,3,2.0,1025,229900
698,698,193,3,1.0,1036,225000
699,699,267,2,1.0,804,200560
700,700,193,3,1.1,1036,221000
701,701,267,3,1.0,988,239900
702,702,193,3,2.0,1179,229999
703,703,193,3,1.0,1089,209900
704,704,188,3,2.0,1118,234900
705,705,199,2,1.0,720,209990
706,706,193,2,1.0,954,225000
707,707,199,2,1.0,720,209990
708,708,193,3,2.0,1334,220000
709,709,193,3,1.0,1225,249999
710,710,267,3,2.0,1322,247000
